productId,productName,categoryId,categoryName,numberOfUnits,mrp,discountPrice,description
57,"Trail Running Shoes",5,Clothing,70,119.99,99.99,"Durable and lightweight shoes for trail running."
58,"Instant Pot",3,Kitchen,15,99.99,89.99,"Multi-functional pressure cooker for easy cooking."
59,"Baby Bottle Set",10,"Baby Products",50,29.99,24.99,"Set of 5 BPA-free baby bottles with anti-colic nipples."
60,"Face Cream",4,Beauty,200,14.99,12.99,"Hydrating face cream with SPF 30."
61,"Tent Poles",9,Outdoor,100,29.99,24.99,"Durable replacement tent poles."
62,"Hair Straightener",4,Beauty,60,59.99,49.99,"Ceramic hair straightener for silky smooth hair."
63,"Men's Leather Belt",7,Accessories,80,19.99,16.99,"Premium leather belt with adjustable buckle."
64,"Office Desk",3,Furniture,20,249.99,229.99,"Sturdy office desk with cable management system."
65,"Organic Green Tea",2,Groceries,100,4.99,3.99,"Soothing organic green tea in tea bags."
66,"Foam Roller",6,Fitness,50,24.99,19.99,"High-density foam roller for muscle recovery."
67,Pineapple,2,Groceries,100,2.99,2.49,"Fresh and juicy pineapple."
68,Bookshelf,3,Furniture,25,149.99,129.99,"Wooden bookshelf with five spacious shelves."
69,"Noise-Canceling Earbuds",1,Electronics,50,59.99,49.99,"Wireless earbuds with active noise cancellation."
70,"Portable Power Bank",1,Electronics,200,49.99,39.99,"High-capacity portable power bank with fast charging."
71,"Resistance Loop Bands",6,Fitness,60,15.99,12.99,"Set of 5 resistance loop bands for versatile workouts."
72,"Waterproof Backpack",9,Outdoor,40,69.99,59.99,"Durable waterproof backpack for outdoor adventures."
73,"Silicone Baking Mats",3,Kitchen,80,19.99,14.99,"Non-stick silicone baking mats for easy cleanup."
74,"Baby Monitor",10,"Baby Products",50,99.99,89.99,"Digital baby monitor with camera and two-way audio."
75,"Face Mask Pack",4,Beauty,150,9.99,7.99,"Pack of 5 hydrating and soothing face masks."
76,"Fishing Rod",9,Outdoor,30,49.99,39.99,"Lightweight and durable fishing rod for beginners."
77,"Organic Honey",2,Groceries,100,12.99,10.99,"Pure organic honey sourced from local farms."
78,"Gaming Monitor",1,Electronics,15,299.99,249.99,"27-inch gaming monitor with 144Hz refresh rate."
79,"Wooden Coffee Table",3,Furniture,30,199.99,179.99,"Elegant wooden coffee table with storage space."
80,"LED Monitor",1,Electronics,50,199.99,169.99,"27-inch Full HD LED monitor with a sleek design."
81,"Organic Honey",2,Groceries,150,12.99,10.99,"100% pure and natural organic honey."
82,"Face Moisturizer",4,Beauty,80,19.99,14.99,"Hydrating face moisturizer with SPF protection."
83,"Trekking Poles",9,Outdoor,40,49.99,39.99,"Lightweight trekking poles with adjustable length."
84,"Resistance Band Set",6,Fitness,120,24.99,19.99,"Set of resistance bands with different tension levels."
85,"Desk Organizer",8,Stationery,200,14.99,12.49,"Multi-compartment desk organizer for office supplies."
86,"Baby Carrier",10,"Baby Products",30,69.99,59.99,"Comfortable and adjustable baby carrier."
87,"Electric Grill",3,Kitchen,25,149.99,129.99,"Compact electric grill with non-stick surface."
88,"Water Bottle",7,Accessories,300,9.99,7.99,"Stainless steel water bottle with thermal insulation."
89,"Gaming Chair",3,Furniture,20,299.99,249.99,"Ergonomic gaming chair with lumbar support."
90,"Smart LED Bulb",1,Electronics,100,19.99,14.99,"Wi-Fi-enabled LED bulb with customizable colors."
91,"Woolen Scarf",7,Accessories,150,29.99,24.99,"Warm and soft woolen scarf available in various colors."
92,"Eyeliner Pen",4,Beauty,100,14.99,11.99,"Waterproof eyeliner pen with precision tip."
93,"Portable Camping Stove",9,Outdoor,30,59.99,49.99,"Lightweight and durable camping stove for outdoor cooking."
94,"Foam Roller",6,Fitness,80,29.99,24.99,"High-density foam roller for muscle recovery."
95,Bookshelf,3,Furniture,15,129.99,109.99,"Modern wooden bookshelf with 5 tiers."
96,"Baby Blanket",10,"Baby Products",40,24.99,19.99,"Soft and cozy baby blanket made of organic cotton."
97,"Gluten-Free Pasta",2,Groceries,200,3.99,3.49,"Healthy and tasty gluten-free pasta."
98,"Highlighters Set",8,Stationery,300,9.99,7.99,"Pack of 6 vibrant highlighters with a chisel tip."
99,"Stainless Steel Knife Set",3,Kitchen,50,49.99,39.99,"Professional stainless steel knife set with 6 pieces."
100,"Ceramic Coffee Mug",7,Accessories,200,14.99,11.99,"Stylish ceramic coffee mug with a large handle."
101,"Foundation Makeup",4,Beauty,80,19.99,16.99,"Long-lasting liquid foundation available in multiple shades."
102,"Camping Hammock",9,Outdoor,50,39.99,34.99,"Durable camping hammock with easy setup."
103,"Kettlebell Set",6,Fitness,25,59.99,49.99,"Set of 3 kettlebells for strength training."
104,"Gel Pens",8,Stationery,400,5.99,4.99,"Pack of 5 smooth-writing gel pens."
105,"Baby High Chair",10,"Baby Products",15,149.99,129.99,"Adjustable high chair with removable tray for easy cleaning."
106,"Stainless Steel Water Bottle",7,Accessories,200,24.99,19.99,"Insulated water bottle keeps beverages hot or cold for hours."
107,"Reusable Grocery Bags",2,Groceries,300,9.99,7.99,"Eco-friendly reusable grocery bags, pack of 3."
108,"Wireless Charger",1,Electronics,120,29.99,24.99,"Fast wireless charger compatible with most smartphones."
109,"Wooden Dining Table",3,Furniture,5,499.99,449.99,"Elegant wooden dining table with a polished finish."
